,Title,Address,Area,Bedrooms,Bathrooms,Garage Cars,Rent,Condominium
7780,Apartamento com 3 Quartos à Venda/Aluguel 105m²,"Rua Baronesa de Itu, 311 - Santa Cecília, São Paulo - SP",105 m²,3 Quartos,3 Banheiros,1 Vaga,R$ 2.800 /mês,R$ 1.455
7781,"Apartamento com 2 Quartos para Aluguel, 70m²","Rua Silveira Campos - Cambuci, São Paulo - SP",70 m²,2 Quartos,2 Banheiros,-- Vaga,R$ 1.450 /mês,R$ 290
7782,"Apartamento com Quarto para Aluguel, 48m²","Rua Sansão Alves dos Santos - Brooklin, São Paulo - SP",48 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 3.800 /mês,R$ 700
7783,Apartamento com Quarto à Venda/Aluguel 32m²,"Rua Padre Carvalho - Pinheiros, São Paulo - SP",32 m²,1 Quarto,1 Banheiro,-- Vaga,R$ 4.000 /mês,R$ 150
7784,Apartamento com 3 Quartos à Venda/Aluguel 69m²,"Rua Bueno de Andrade, 706 - Aclimação, São Paulo - SP",69 m²,3 Quartos,2 Banheiros,2 Vagas,R$ 2.800 /mês,R$ 720
7785,"Apartamento com 3 Quartos para Aluguel, 180m²","Avenida Engenheiro Eusébio Stevaux, 1001 - Jurubatuba, São Paulo - SP",180 m²,3 Quartos,5 Banheiros,2 Vagas,R$ 6.600 /mês,R$ 1.579
7786,"Apartamento com 2 Quartos para Aluguel, 55m²","Rua Herbert Frazer, 963 - Interlagos, São Paulo - SP",55 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 2.095 /mês,R$ 405
7787,Apartamento com 2 Quartos para Venda/Aluguel 72m²,"Móoca, São Paulo - SP",72 m²,2 Quartos,1 Banheiro,-- Vaga,R$ 1.400 /mês,R$ 470
7788,"Apartamento com 2 Quartos para Aluguel, 66m²","Vila Mariana, São Paulo - SP",66 m²,2 Quartos,1 Banheiro,-- Vaga,R$ 1.350 /mês,R$ 574
7789,Apartamento com 2 Quartos para Venda/Aluguel 63m²,"Avenida Nova Independência - Brooklin, São Paulo - SP",63 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 2.500 /mês,R$ 800
7790,"Apartamento com 2 Quartos para Aluguel, 50m²","Avenida Interlagos - Jardim Marajoara, São Paulo - SP",50 m²,2 Quartos,1 Banheiro,1 Vaga,R$ 1.600 /mês,R$ 480
7791,"Apartamento com 2 Quartos para Aluguel, 75m²","Rua Homero Sales - Parque São Domingos, São Paulo - SP",75 m²,2 Quartos,1 Banheiro,2 Vagas,R$ 1.500 /mês,R$ 0
7792,"Apartamento com Quarto para Aluguel, 48m²","Rua Graúna, 287 - Moema, São Paulo - SP",48 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 2.000 /mês,R$ 720
7793,Apartamento com 4 Quartos para Venda/Aluguel 170m²,"Rua Xavier de Almeida - Ipiranga, São Paulo - SP",170 m²,4 Quartos,5 Banheiros,3 Vagas,R$ 7.500 /mês,R$ 1.380
7794,Apartamento com Quarto para Venda/Aluguel 60m²,"Campo Belo, São Paulo - SP",60 m²,1 Quarto,2 Banheiros,2 Vagas,R$ 2.950 /mês,R$ 900
7795,Apartamento com 2 Quartos à Venda/Aluguel 65m²,"Rua Estado de Israel, 907 - Vila Clementino, São Paulo - SP",65 m²,2 Quartos,2 Banheiros,1 Vaga,R$ 1.600 /mês,R$ 1.050
7796,"Apartamento com Quarto para Aluguel, 70m²","Cidade Monções, São Paulo - SP",70 m²,1 Quarto,1 Banheiro,1 Vaga,R$ 5.500 /mês,R$ 994
