,District,Area (m²),Bedrooms,Bathrooms,Garage Cars,Condominium Fee (R$),Rent (R$)
337,0,48,2,1,0,627,1500
338,10,70,2,2,0,310,1900
339,7,73,2,2,2,0,5000
340,27,135,3,4,2,1170,2500
341,29,141,3,4,3,900,3980
342,7,45,1,1,1,650,2600
343,10,70,2,2,2,853,4500
344,0,62,2,1,2,750,1600
345,40,68,2,2,2,550,2420
346,32,63,2,2,1,1050,3300
347,46,85,3,2,2,1050,2800
348,26,101,3,3,2,1088,3800
349,28,100,3,3,2,510,4500
350,30,165,3,3,1,1340,3300
351,29,44,1,1,1,624,2550
352,3,56,1,1,1,950,3610
353,46,45,1,1,1,648,2150
354,50,50,2,1,1,300,1800
355,22,74,2,2,1,692,4200
356,0,60,1,1,0,480,1480
357,3,72,2,2,2,700,4400
358,1,38,1,1,1,350,1600
359,9,105,2,3,1,1374,2600
360,26,51,1,1,1,480,4950
361,8,30,1,1,0,534,1800
362,29,49,1,1,1,604,2800
363,32,148,4,2,2,1570,4500
364,29,43,2,1,1,500,1000
365,40,51,2,1,1,371,1910
366,48,50,1,2,2,1400,3639
367,33,65,2,2,1,637,2600
368,29,120,3,4,2,890,5500
369,33,60,2,2,1,930,2200
370,2,29,1,1,1,440,1300
371,29,87,3,3,2,630,5100
372,46,70,3,3,1,583,3300
373,9,60,1,1,2,833,3000
374,21,58,1,1,1,762,2700
375,41,120,2,1,1,840,3000
376,3,83,3,3,2,1000,3400
377,29,60,2,1,1,350,1600
378,29,54,2,1,1,400,1200
379,32,43,1,1,1,647,3100
380,29,42,2,1,1,637,1300
381,43,65,2,1,1,359,1950
382,26,70,2,1,1,836,3000
383,13,50,2,2,1,481,2500
384,35,81,2,3,2,947,3200
385,16,65,2,1,1,900,2300
386,49,65,2,2,0,755,3500
387,40,110,3,2,2,895,5000
388,15,59,2,1,1,700,2000
389,29,65,1,2,2,957,3500
390,44,56,2,2,1,648,2200
391,29,80,2,1,0,100,2200
392,29,58,2,1,1,500,1000
393,45,45,2,1,1,336,2300
394,3,51,1,1,1,600,3400
395,36,80,2,2,1,405,1700
396,8,90,2,1,0,0,1800
397,26,147,4,4,2,1700,6200
398,29,60,2,1,1,250,1600
399,2,30,1,1,1,514,1800
400,3,70,2,2,1,900,4000
401,31,115,2,2,1,1157,2599
402,18,50,2,1,1,583,1200
403,3,50,2,2,1,629,2500
404,43,53,1,1,1,550,2499
405,12,30,1,1,1,680,1750
406,36,50,2,1,1,575,1600
407,49,65,2,2,1,1050,3000
408,29,59,2,2,1,550,2500
409,29,45,2,1,1,267,1450
410,49,92,3,1,1,620,2300
411,46,35,1,1,0,626,2000
412,44,70,1,1,1,735,3000
413,34,56,1,1,0,380,1700
414,12,30,1,1,0,334,1841
415,21,120,3,3,1,893,4000
416,29,102,2,2,0,474,2000
417,19,90,2,2,1,1198,3100
418,35,110,2,2,1,1000,1900
419,29,40,2,1,0,0,1150
420,29,69,3,1,1,688,2000
421,12,37,1,1,1,300,1950
422,16,70,1,1,1,1400,6000
423,32,65,2,2,1,832,4200
424,29,128,3,2,2,1200,4000
425,7,76,1,1,2,1059,4800
426,29,57,3,1,1,400,1470
427,29,64,2,2,2,628,1800
428,29,16,1,1,0,0,1100
429,29,50,2,1,0,483,1200
430,48,95,2,3,1,1150,5800
431,44,53,2,1,1,700,2500
432,2,55,1,1,0,600,1600
433,35,40,1,1,1,545,1850
434,1,70,3,2,1,490,2500
435,26,42,1,1,1,880,2000
436,40,89,3,3,2,750,1900
437,6,64,2,2,1,560,2860
438,29,79,2,2,2,700,2800
439,29,64,2,2,1,560,1900
440,47,50,2,1,1,405,2800
441,42,112,3,3,2,1300,2800
442,29,63,3,2,1,676,2000
443,29,55,3,1,1,526,1600
444,29,63,1,1,1,620,4150
445,29,50,2,1,1,540,1850
446,2,32,1,1,1,440,1000
447,21,45,1,1,1,1200,1575
448,29,128,4,4,2,810,6300
449,39,52,2,1,1,552,2300
450,29,48,2,1,1,350,1650
451,8,85,2,2,0,500,2500
452,21,78,2,2,1,870,2500
453,27,72,2,1,2,781,1600
454,16,131,3,1,1,945,4985
455,29,40,1,1,0,0,790
456,50,64,2,2,1,480,1850
457,26,50,2,1,1,0,2500
458,29,148,2,2,2,1269,7900
459,43,78,2,3,1,780,2000
460,6,36,1,1,1,660,1530
461,5,55,2,1,1,560,1800
462,29,55,2,1,1,458,1700
463,34,30,1,1,1,450,2150
464,43,59,2,1,1,800,1700
465,49,48,1,2,1,605,2500
