,District,Area (m²),Bedrooms,Bathrooms,Garage Cars,Rent (R$),Condominium Fee (R$),Total Value (R$),Value per m²
2572,Outro,45,2,1,0,550,122,672,14.933333
2573,Perdizes,98,3,3,2,3600,1200,4800,48.97959
2574,Indianópolis,97,2,2,1,5400,0,5400,55.670105
2575,Barra Funda,95,2,1,0,2300,605,2905,30.578947
2576,Mirandópolis,60,1,1,1,1600,571,2171,36.183334
2577,Outro,51,1,1,1,3380,590,3970,77.84314
2578,Campo Belo,42,1,1,1,2600,546,3146,74.90476
2579,Pirituba,78,3,3,2,2100,730,2830,36.28205
2580,Vila Olímpia,95,3,2,1,2500,1350,3850,40.526318
2581,Bela Vista,104,3,3,0,2200,955,3155,30.336538
2582,Moema,101,3,3,2,3800,1088,4888,48.396038
2583,Chácara Santo Antônio,85,3,2,1,2750,750,3500,41.17647
2584,Vila Mariana,62,2,2,1,2500,817,3317,53.5
2585,Consolação,59,2,1,0,1500,1050,2550,43.22034
2586,Chácara Santo Antônio,38,1,1,1,1800,482,2282,60.05263
2587,Vila Olímpia,44,1,1,1,3000,750,3750,85.22727
2588,Moema,90,2,2,3,4400,1250,5650,62.77778
2589,Moema,60,1,2,1,4100,843,4943,82.38333
2590,Móoca,61,3,1,1,2200,400,2600,42.62295
2591,Pinheiros,40,1,1,1,4500,687,5187,129.675
2592,Ipiranga,68,2,2,2,2700,604,3304,48.588234
2593,Vila Leopoldina,120,3,3,2,3100,1000,4100,34.166668
2594,Barra Funda,69,2,2,1,2900,540,3440,49.855072
2595,Butantã,68,3,2,2,2400,687,3087,45.39706
2596,Brás,60,2,1,1,1300,490,1790,29.833334
2597,Morumbi,77,2,2,2,2300,700,3000,38.96104
2598,Moema,47,1,2,1,4400,550,4950,105.319145
2599,Jardim América,169,2,4,2,16000,1720,17720,104.85207
2600,Granja Julieta,154,3,4,2,6300,1340,7640,49.61039
2601,Vila Clementino,85,2,2,1,3100,980,4080,48.0
2602,Itaim Bibi,180,2,2,1,18000,1740,19740,109.666664
2603,Chácara Santo Antônio,76,2,2,1,3000,872,3872,50.94737
2604,Alto Da Boa Vista,41,1,1,1,1510,735,2245,54.756096
