,District,Area (m²),Bedrooms,Bathrooms,Garage Cars,Rent (R$),Condominium Fee (R$),Total Value (R$),Value per m²
5651,Jardim Europa,405,3,5,5,75000,6500,81500,201.23457
5652,Itaim Bibi,60,1,1,1,1900,757,2657,44.283333
5653,Vila Prudente,65,3,2,1,1800,460,2260,34.76923
5654,Vila Nova Conceição,128,3,3,1,7000,1220,8220,64.21875
5655,Outro,215,3,4,2,3500,4100,7600,35.34884
5656,Moema,140,3,5,2,5500,1650,7150,51.07143
5657,Móoca,50,2,1,0,1100,309,1409,28.18
5658,Pinheiros,111,2,4,2,9900,1600,11500,103.60361
5659,Chácara Santo Antônio,38,1,1,1,2000,380,2380,62.63158
5660,Vila Mariana,50,1,1,1,1800,582,2382,47.64
5661,Outro,310,4,6,4,22000,4345,26345,84.98387
5662,Outro,62,1,2,1,3950,750,4700,75.80645
5663,Itaim Bibi,38,1,1,1,2400,497,2897,76.23684
5664,Moema,38,1,1,1,2300,1000,3300,86.8421
5665,Outro,60,2,1,1,1000,310,1310,21.833334
5666,Outro,45,2,1,1,1650,353,2003,44.511112
5667,Santana,35,1,1,1,1350,1300,2650,75.71429
5668,Jardim Paulista,45,1,1,1,3000,950,3950,87.77778
5669,Vila Gomes Cardim,137,3,4,3,3200,1394,4594,33.53285
5670,Brooklin,24,1,1,1,2450,1,2451,102.125
5671,Brooklin,113,3,4,2,5200,1428,6628,58.65487
5672,Pinheiros,72,2,2,1,6300,1100,7400,102.77778
5673,Vila Leopoldina,172,3,4,3,6200,1700,7900,45.930233
5674,Alto da Lapa,230,4,6,3,10500,3500,14000,60.869564
5675,Outro,50,2,1,1,1450,350,1800,36.0
5676,Moema,45,1,1,1,2500,778,3278,72.844444
5677,Higienópolis,68,1,2,0,3200,1331,4531,66.632355
5678,Outro,88,1,2,2,8500,2274,10774,122.431816
5679,Higienópolis,33,1,1,1,1500,348,1848,56.0
5680,Perdizes,40,1,1,1,1800,595,2395,59.875
5681,Jabaquara,60,2,1,0,1800,0,1800,30.0
5682,Outro,126,3,3,3,2000,1980,3980,31.587301
5683,Outro,70,2,2,1,1300,482,1782,25.457144
5684,Chácara Santo Antônio,104,3,3,3,4400,765,5165,49.66346
5685,Campo Belo,93,3,3,2,3850,1778,5628,60.51613
5686,Bela Vista,45,1,1,1,1600,660,2260,50.22222
5687,Perdizes,57,2,2,2,2750,850,3600,63.157894
5688,Brooklin,35,1,1,1,2900,600,3500,100.0
5689,Mirandópolis,41,1,1,1,1900,511,2411,58.80488
5690,Vila Mascote,65,2,2,1,1850,1100,2950,45.384617
5691,Moema,80,2,2,1,5000,0,5000,62.5
5692,Jardim Paulista,42,1,1,1,4500,0,4500,107.14286
5693,Outro,49,2,1,1,1160,477,1637,33.408165
5694,Indianópolis,43,1,1,0,1800,730,2530,58.837208
5695,Brooklin,66,2,2,1,2000,750,2750,41.666668
5696,Perdizes,130,3,4,3,5300,1390,6690,51.46154
5697,Outro,62,2,1,1,1800,518,2318,37.387096
5698,Vila Mariana,36,1,1,1,2800,780,3580,99.44444
5699,Pinheiros,45,1,2,1,2700,780,3480,77.333336
5700,Perdizes,75,2,1,1,2300,900,3200,42.666668
5701,Pinheiros,71,2,2,1,5000,800,5800,81.69014
5702,Brooklin,290,4,3,3,15500,1900,17400,60.0
5703,Casa Verde,55,2,1,3,1200,90,1290,23.454546
5704,Vila Mariana,47,1,1,1,2700,580,3280,69.78723
5705,Moema,61,2,2,1,4200,715,4915,80.57377
5706,Outro,56,2,1,1,1215,585,1800,32.142857
5707,Outro,72,3,1,1,1510,690,2200,30.555555
5708,Moema,70,2,3,2,3500,1300,4800,68.57143
5709,Cerqueira César,130,2,3,2,9800,1490,11290,86.84615
5710,Moema,31,1,1,0,2700,486,3186,102.77419
5711,Liberdade,52,2,1,1,1900,310,2210,42.5
5712,Outro,49,2,1,1,1650,0,1650,33.67347
5713,Bela Vista,60,2,1,1,2600,792,3392,56.533333
5714,Mirandópolis,82,2,2,1,1800,773,2573,31.378048
5715,Vila Mariana,84,2,2,1,2000,920,2920,34.761906
5716,Outro,100,3,2,2,2500,1077,3577,35.77
5717,Jardim Anália Franco,148,4,5,3,4000,1700,5700,38.51351
5718,Tatuapé,35,1,1,1,1900,411,2311,66.02857
5719,Santana,70,2,2,0,1350,470,1820,26.0
5720,Campo Belo,50,1,2,1,4315,430,4745,94.9
5721,Vila Buarque,30,1,1,0,1090,408,1498,49.933334
5722,Moema,75,2,3,2,4100,1250,5350,71.333336
5723,Jardim Anália Franco,55,1,1,1,3200,470,3670,66.72727
5724,Higienópolis,180,2,4,2,12000,1868,13868,77.04444
5725,Santa Cecília,59,1,1,0,1400,560,1960,33.22034
5726,Vila Uberabinha,80,2,3,2,4600,890,5490,68.625
5727,Outro,125,3,4,3,3100,1430,4530,36.24
5728,Outro,165,3,4,3,5500,2500,8000,48.484848
5729,Outro,76,2,1,0,2000,467,2467,32.460526
5730,Vila Mariana,145,3,3,3,5000,1063,6063,41.813793
5731,Outro,70,3,2,1,1800,580,2380,34.0
5732,Vila Gomes Cardim,130,3,4,2,3900,1350,5250,40.384617
5733,Paraíso,66,2,2,1,3500,880,4380,66.36364
5734,Centro,44,1,1,1,2300,700,3000,68.181816
5735,Moema,74,2,3,1,5500,865,6365,86.01351
5736,Vila Nova Conceição,153,2,3,3,22000,0,22000,143.79085
5737,Bela Vista,62,1,1,0,2500,413,2913,46.98387
5738,Outro,31,1,1,0,1200,0,1200,38.70968
5739,Outro,51,1,1,1,3200,620,3820,74.90196
5740,Vila Mariana,51,2,1,0,3000,580,3580,70.196075
5741,Vila Sônia,52,2,1,1,2300,310,2610,50.192307
5742,Moema,80,2,3,1,3800,1030,4830,60.375
5743,Vila Madalena,55,1,1,2,4300,1408,5708,103.781815
5744,Campo Belo,50,1,2,1,2650,600,3250,65.0
5745,Brooklin,51,1,1,1,3700,600,4300,84.31373
5746,Barra Funda,94,3,3,2,3200,750,3950,42.02128
5747,Vila Uberabinha,60,2,1,1,3100,907,4007,66.78333
5748,Vila Mariana,21,1,1,0,2000,350,2350,111.90476
5749,Bela Vista,74,2,1,1,2500,773,3273,44.22973
5750,Perdizes,130,3,2,3,5000,2200,7200,55.384617
5751,Vila Leopoldina,35,2,1,0,2250,350,2600,74.28571
5752,Moema,172,4,5,2,5500,2035,7535,43.80814
5753,Tatuapé,65,3,1,1,2400,610,3010,46.307693
5754,Outro,60,2,1,1,2000,597,2597,43.283333
5755,Perdizes,80,2,3,2,5000,1350,6350,79.375
5756,Vila Nova Conceição,36,1,1,1,2800,1000,3800,105.55556
5757,Vila Leopoldina,104,3,4,2,6000,885,6885,66.20192
5758,Cambuci,68,2,1,1,3600,800,4400,64.70588
5759,Indianópolis,65,2,2,1,2000,880,2880,44.307693
5760,Vila Olímpia,100,3,3,2,2500,1350,3850,38.5
5761,Outro,71,3,2,2,2500,618,3118,43.915493
5762,Consolação,42,1,1,1,1480,492,1972,46.95238
5763,Brooklin,240,4,5,4,15000,3443,18443,76.84583
5764,Perdizes,78,2,2,1,3000,1100,4100,52.564102
5765,Vila Mariana,34,1,1,1,1200,554,1754,51.588234
5766,Itaim Bibi,107,3,2,2,4300,2700,7000,65.42056
5767,República,35,1,1,0,1300,555,1855,53.0
5768,Outro,52,2,1,1,1000,375,1375,26.442308
5769,Outro,34,1,1,0,1800,0,1800,52.941177
5770,Saúde,43,1,2,1,1700,476,2176,50.604652
5771,Vila Andrade,61,3,1,1,1700,660,2360,38.688526
5772,Vila Leopoldina,121,3,3,2,5700,880,6580,54.380165
5773,Vila Leopoldina,187,3,4,3,9500,1800,11300,60.427807
5774,Paraíso,36,1,1,1,1690,1280,2970,82.5
5775,Perdizes,160,4,4,2,5400,1586,6986,43.6625
5776,Perdizes,60,2,2,1,3500,1101,4601,76.683334
5777,Brooklin,88,2,2,2,5900,1300,7200,81.818184
5778,Vila Mariana,50,1,1,1,2800,856,3656,73.12
5779,Outro,328,3,6,5,19000,7000,26000,79.268295
5780,Cerqueira César,60,1,1,2,3000,833,3833,63.883335
5781,Cerqueira César,170,3,5,3,7000,2175,9175,53.97059
5782,Vila Nova Conceição,95,2,2,1,5000,0,5000,52.63158
5783,Vila Nova Conceição,41,1,1,1,6000,900,6900,168.29268
5784,Vila Leopoldina,70,2,1,1,2700,710,3410,48.714287
5785,Jardim América,127,2,3,1,5800,1640,7440,58.582676
5786,Outro,45,2,1,1,1650,303,1953,43.4
5787,Jardim Paulista,100,3,3,2,3500,1154,4654,46.54
5788,Vila Nova Conceição,141,2,3,2,20000,2500,22500,159.57446
5789,Alto Da Boa Vista,87,2,2,1,2000,621,2621,30.126436
5790,Outro,80,3,2,1,2000,500,2500,31.25
5791,Alto de Pinheiros,57,2,1,2,2300,655,2955,51.842106
5792,Jardim Europa,277,3,2,3,22000,3000,25000,90.25271
5793,Centro,49,1,2,1,2950,790,3740,76.32653
5794,Jardim América,150,3,5,4,15000,0,15000,100.0
5795,Campos Eliseos,110,3,1,0,2200,600,2800,25.454546
5796,Jardim Prudência,72,2,2,1,3500,680,4180,58.055557
5797,Outro,28,1,1,1,1800,568,2368,84.57143
5798,Perdizes,73,2,1,1,3500,832,4332,59.342464
5799,Vila Mariana,46,1,1,0,2000,230,2230,48.47826
5800,Pinheiros,30,1,1,0,3200,0,3200,106.666664
5801,Outro,56,2,1,1,1880,0,1880,33.57143
5802,Móoca,279,3,3,2,6200,1180,7380,26.451612
5803,Outro,47,2,1,1,1140,360,1500,31.914894
5804,Vila Nova Conceição,95,2,2,1,5000,1190,6190,65.1579
5805,Consolação,53,2,2,1,3000,560,3560,67.169815
5806,Perdizes,70,2,1,1,1600,1000,2600,37.142857
5807,Brooklin,70,2,2,1,2100,1020,3120,44.57143
5808,Casa Verde,49,2,1,0,2200,300,2500,51.02041
5809,Vila Andrade,48,1,2,1,2650,700,3350,69.791664
5810,Vila Leopoldina,50,2,2,1,2000,600,2600,52.0
5811,Moema,70,2,2,1,4800,750,5550,79.28571
5812,Panamby,607,4,6,6,45000,7894,52894,87.14003
5813,Brooklin,116,3,3,2,6200,1350,7550,65.086205
5814,Vila Nova Conceição,163,2,2,3,23990,2787,26777,164.27608
5815,Bela Vista,48,2,2,1,2500,520,3020,62.916668
5816,Vila Olímpia,125,2,3,2,14500,1100,15600,124.8
5817,Móoca,70,2,2,2,2500,850,3350,47.857143
5818,Butantã,60,2,1,1,2100,388,2488,41.466667
5819,Jardim Paulista,100,2,3,1,4500,1150,5650,56.5
5820,Moema,37,1,1,1,2100,980,3080,83.24324
5821,Moema,76,2,2,1,2900,810,3710,48.81579
5822,Jardim Paulista,168,4,4,2,12000,2020,14020,83.45238
5823,Santa Cecília,90,3,2,1,2600,750,3350,37.22222
5824,Outro,95,3,2,3,2900,950,3850,40.526318
5825,Vila Mariana,222,4,6,4,20000,2369,22369,100.76126
5826,Aclimação,35,1,1,1,2100,455,2555,73.0
5827,Casa Verde,100,3,1,0,1700,220,1920,19.2
5828,Jardim Paulista,130,2,4,2,8000,1680,9680,74.46154
5829,Ipiranga,63,2,2,1,2500,535,3035,48.174603
5830,Campo Belo,49,2,1,1,2500,700,3200,65.30612
5831,Brooklin,29,1,1,0,2500,489,2989,103.06896
5832,Outro,50,2,1,1,1620,580,2200,44.0
5833,Santa Cecília,60,2,1,1,2000,828,2828,47.133335
5834,Água Branca,35,1,1,0,1505,439,1944,55.54286
5835,Perdizes,240,4,5,3,14000,2800,16800,70.0
5836,Pompeia,74,2,1,2,3400,800,4200,56.756756
5837,Chácara Santo Antônio,104,3,3,2,3900,980,4880,46.923077
5838,Moema,54,2,3,1,3800,718,4518,83.666664
5839,Vila Madalena,72,1,2,1,3850,700,4550,63.194443
5840,Saúde,33,1,1,1,1150,425,1575,47.727272
5841,Campos Eliseos,48,1,1,1,1800,0,1800,37.5
5842,Casa Verde,55,2,1,1,1200,480,1680,30.545454
5843,Bela Vista,58,2,1,1,2400,633,3033,52.293102
5844,Moema,70,1,1,1,3900,1474,5374,76.77143
5845,Paraíso,55,2,1,1,3500,700,4200,76.36364
5846,Vila Nova Conceição,48,1,1,1,4837,1193,6030,125.625
5847,Vila Andrade,40,1,1,0,1300,639,1939,48.475
5848,Jardim Paulista,90,2,2,1,2600,1050,3650,40.555557
5849,Itaim Bibi,90,2,2,1,4100,765,4865,54.055557
5850,Perdizes,25,1,1,1,2300,330,2630,105.2
5851,Centro,40,1,1,1,1800,397,2197,54.925
5852,Vila Olímpia,63,1,2,1,6000,1350,7350,116.666664
5853,Jardim Paulista,118,3,3,2,5000,1280,6280,53.22034
5854,Liberdade,28,1,1,0,1900,270,2170,77.5
5855,Jardim Marajoara,69,3,2,2,1850,705,2555,37.028984
5856,Barra Funda,62,2,2,1,3000,355,3355,54.112904
5857,Vila Olímpia,65,2,1,1,3500,875,4375,67.30769
5858,Vila Nova Conceição,50,1,1,1,6197,1370,7567,151.34
5859,Vila Mariana,59,2,1,1,2000,802,2802,47.491524
5860,Outro,50,1,1,1,2550,590,3140,62.8
5861,Moema,66,2,2,1,2100,936,3036,46.0
5862,Jardim América,90,2,2,1,3200,1032,4232,47.02222
5863,Outro,74,2,2,1,1800,939,2739,37.01351
5864,Saúde,49,2,1,1,1300,673,1973,40.265305
5865,Barra Funda,85,2,2,1,1780,565,2345,27.588236
5866,Vila Leopoldina,57,2,2,1,2150,1080,3230,56.666668
5867,Cerqueira César,40,1,1,0,1800,704,2504,62.6
5868,Moema,170,3,4,3,14000,2314,16314,95.96471
5869,Outro,75,3,1,1,1800,380,2180,29.066668
5870,Outro,86,2,5,2,4300,820,5120,59.534885
5871,Aclimação,39,1,1,1,2260,530,2790,71.53846
5872,Outro,55,2,1,1,1200,450,1650,30.0
5873,Pinheiros,50,1,1,1,3500,750,4250,85.0
5874,Outro,146,3,3,3,2800,1600,4400,30.136986
5875,Outro,80,2,2,2,3500,1180,4680,58.5
5876,Vila Andrade,238,4,6,4,9000,1535,10535,44.264706
5877,Perdizes,55,1,2,1,1700,350,2050,37.272728
5878,Santana,90,2,1,1,1300,730,2030,22.555555
5879,Saúde,52,2,2,1,1500,720,2220,42.692307
5880,Bela Vista,32,1,1,1,1200,1000,2200,68.75
5881,Granja Julieta,105,2,3,2,5000,750,5750,54.761906
5882,Vila Olímpia,68,2,1,1,3000,594,3594,52.85294
5883,Cerqueira César,35,1,1,1,5435,480,5915,169.0
5884,Outro,58,2,1,1,1281,548,1829,31.534483
5885,Lapa,60,2,2,2,2200,765,2965,49.416668
5886,Pinheiros,50,1,1,0,1650,685,2335,46.7
5887,Outro,48,1,1,1,3200,600,3800,79.166664
5888,Bela Vista,45,1,1,1,3400,544,3944,87.64445
5889,Outro,170,3,5,3,10500,1650,12150,71.47059
5890,Vila Mariana,65,2,2,1,2500,850,3350,51.53846
5891,Itaim Bibi,98,2,3,1,5450,1346,6796,69.34694
5892,Barra Funda,132,2,1,2,5000,1339,6339,48.022728
5893,Pinheiros,48,1,1,2,3300,740,4040,84.166664
5894,Bela Vista,126,3,3,1,3000,1214,4214,33.444443
5895,Outro,42,1,1,1,1380,620,2000,47.61905
5896,Campo Belo,38,1,1,1,2800,505,3305,86.97369
5897,Outro,100,2,3,2,3700,1100,4800,48.0
5898,Tatuapé,130,2,4,2,5700,800,6500,50.0
5899,Outro,100,3,2,2,2700,700,3400,34.0
5900,Santa Cecília,34,1,1,1,1400,500,1900,55.882355
5901,Paraíso,110,3,3,1,3400,925,4325,39.31818
5902,Moema,97,3,3,2,3650,1051,4701,48.463917
5903,Vila Buarque,90,2,2,1,3500,885,4385,48.72222
5904,Santa Cecília,38,1,1,1,1650,524,2174,57.210526
5905,Perdizes,218,3,5,4,8500,2660,11160,51.19266
5906,Chácara Santo Antônio,96,2,2,0,4400,509,4909,51.135418
5907,Bela Vista,40,1,1,0,1200,552,1752,43.8
5908,Ipiranga,58,2,1,1,2000,700,2700,46.551723
5909,Moema,52,2,2,1,2300,581,2881,55.403847
5910,Vila Nova Conceição,95,2,2,1,5000,1190,6190,65.1579
5911,Jardim Paulista,337,3,5,2,19000,3780,22780,67.596436
5912,Santana,100,3,3,2,2500,1300,3800,38.0
5913,Vila Mariana,34,1,1,1,1300,877,2177,64.02941
5914,Jardim Marajoara,118,4,3,2,2800,1326,4126,34.966103
5915,Campo Belo,90,2,2,1,1500,1500,3000,33.333332
5916,Vila Nova Conceição,226,4,3,4,22000,2959,24959,110.43805
5917,Outro,67,2,1,0,1700,0,1700,25.373135
5918,Itaim Bibi,140,3,2,1,5000,945,5945,42.464287
5919,Higienópolis,50,2,2,1,2500,481,2981,59.62
5920,Moema,15,1,1,1,1590,295,1885,125.666664
5921,Pinheiros,35,1,1,1,3150,500,3650,104.28571
5922,Campo Belo,50,1,1,0,3300,587,3887,77.74
5923,Outro,165,3,4,2,6500,2700,9200,55.757576
5924,Jardim Europa,158,3,2,1,10500,2000,12500,79.11392
5925,Vila Madalena,40,1,1,1,2600,695,3295,82.375
5926,Jardins,46,1,1,1,1900,550,2450,53.260868
5927,Jardim Paulista,42,1,1,1,1230,1150,2380,56.666668
5928,Brooklin,225,3,5,4,9000,3900,12900,57.333332
5929,Ipiranga,86,2,2,2,2600,975,3575,41.569767
5930,Santa Cecília,50,1,1,0,2000,190,2190,43.8
5931,Chácara Santo Antônio,106,2,4,2,5000,1110,6110,57.64151
5932,Morumbi,78,2,1,1,1640,787,2427,31.115385
5933,Vila Olímpia,81,1,3,0,8000,1150,9150,112.96296
5934,Vila Olímpia,82,2,2,2,6300,1200,7500,91.46342
5935,Vila Mariana,80,3,2,1,2800,990,3790,47.375
5936,Tatuapé,90,2,2,1,1100,600,1700,18.88889
5937,Pompeia,70,2,2,1,1700,858,2558,36.54286
5938,Vila Guarani,75,3,2,2,3500,599,4099,54.65333
5939,Vila Mariana,97,3,2,2,2600,1001,3601,37.12371
5940,Aclimação,37,1,1,1,2160,530,2690,72.702705
5941,Perdizes,50,1,1,1,2000,575,2575,51.5
5942,Outro,66,3,2,1,1600,524,2124,32.18182
5943,Vila Olímpia,93,2,4,2,9000,1120,10120,108.81721
5944,Liberdade,40,1,1,0,1000,548,1548,38.7
5945,Bela Vista,57,1,1,0,1350,500,1850,32.45614
5946,Alto de Pinheiros,55,2,1,1,1900,640,2540,46.18182
5947,Santo Amaro,65,3,2,0,2100,920,3020,46.46154
5948,República,26,1,1,0,810,232,1042,40.076923
5949,Vila Nova Conceição,79,2,1,1,4000,834,4834,61.189873
5950,Outro,70,2,2,1,2400,800,3200,45.714287
5951,Jardim Marajoara,280,4,6,4,7500,2263,9763,34.86786
5952,República,391,2,4,2,15000,3000,18000,46.035805
5953,Jardim Paulista,45,1,1,1,3900,760,4660,103.55556
5954,Outro,51,1,1,1,1300,605,1905,37.35294
5955,Perdizes,98,3,3,1,3400,899,4299,43.867348
5956,Itaim Bibi,65,1,2,1,4000,1090,5090,78.30769
5957,Vila Carrão,70,3,2,2,3000,680,3680,52.57143
5958,Aclimação,37,1,1,1,2160,530,2690,72.702705
5959,Vila Carrão,56,2,1,1,2500,0,2500,44.642857
5960,Brooklin,95,3,3,2,3200,1300,4500,47.36842
5961,Outro,46,2,1,1,1500,400,1900,41.304348
5962,Brooklin,98,3,3,3,4500,1000,5500,56.122448
5963,Pinheiros,80,3,3,2,3500,1136,4636,57.95
5964,Consolação,50,1,1,0,2000,381,2381,47.62
5965,Outro,143,3,5,3,2400,2200,4600,32.16783
5966,Paraíso,185,4,5,4,12000,1800,13800,74.5946
5967,Vila Mascote,60,2,2,1,1300,580,1880,31.333334
5968,Higienópolis,60,2,2,2,4000,680,4680,78.0
5969,Outro,103,2,3,2,6000,780,6780,65.82524
5970,Outro,48,2,1,1,1700,0,1700,35.416668
5971,Outro,40,2,1,1,1270,120,1390,34.75
5972,Vila Olímpia,75,2,2,1,2200,1106,3306,44.08
5973,Bela Vista,37,1,1,0,900,290,1190,32.162163
5974,Outro,62,3,2,2,2200,470,2670,43.064518
5975,Jardim Paulista,75,2,2,1,3000,811,3811,50.81333
5976,Cambuci,40,2,1,0,1300,300,1600,40.0
5977,Tatuapé,50,2,1,1,2200,290,2490,49.8
5978,Granja Julieta,82,3,1,1,3500,752,4252,51.853657
5979,Perdizes,142,3,3,2,3950,1580,5530,38.94366
5980,Saúde,42,2,1,1,1990,0,1990,47.38095
5981,Vila Olímpia,40,1,1,1,3404,903,4307,107.675
5982,Brooklin,30,1,1,1,2420,502,2922,97.4
5983,Vila Guarani,55,2,1,1,1550,558,2108,38.327274
5984,Ipiranga,69,2,1,2,2690,605,3295,47.753624
5985,Vila Mariana,75,2,3,1,2400,980,3380,45.066666
5986,Pinheiros,100,3,4,2,3300,1639,4939,49.39
5987,Santa Ifigênia,44,1,1,1,2550,624,3174,72.13636
5988,Jardins,40,1,1,1,2500,800,3300,82.5
5989,Água Branca,115,3,1,0,2300,0,2300,20.0
5990,Mirandópolis,34,1,1,1,1450,481,1931,56.794117
5991,Liberdade,85,2,2,1,1500,1246,2746,32.30588
5992,Outro,54,2,1,1,1600,480,2080,38.51852
5993,Santa Cecília,76,2,2,1,3300,850,4150,54.605263
5994,Outro,110,3,4,3,7500,1720,9220,83.818184
5995,Vila Nova Conceição,43,1,1,1,2500,800,3300,76.74419
5996,Jabaquara,67,3,2,1,1800,744,2544,37.97015
5997,Outro,52,2,1,1,1400,529,1929,37.096153
5998,Jardim Paulista,176,3,3,1,5000,1630,6630,37.670456
5999,Vila Santa Catarina,73,2,2,2,3700,555,4255,58.28767
6000,Itaim Bibi,39,1,1,1,4234,583,4817,123.51282
6001,Consolação,66,2,2,1,6500,550,7050,106.818184
6002,Ipiranga,34,1,1,1,2200,400,2600,76.47059
6003,Vila Mariana,49,2,2,0,2000,100,2100,42.857143
6004,Brooklin,120,3,3,1,4000,1200,5200,43.333332
6005,Paraíso,83,3,3,2,3590,1200,4790,57.710842
6006,Vila Sônia,40,2,1,0,1280,206,1486,37.15
6007,Pompeia,41,1,1,1,2300,590,2890,70.48781
6008,Tatuapé,63,2,2,2,2600,592,3192,50.666668
6009,Outro,58,2,1,1,2000,707,2707,46.672413
6010,Vila Mariana,41,1,1,0,3500,981,4481,109.29269
6011,Outro,66,2,2,1,1900,1000,2900,43.939392
6012,Outro,40,1,1,1,1100,400,1500,37.5
6013,Santana,63,2,2,2,1850,800,2650,42.06349
6014,Outro,40,2,1,1,2300,400,2700,67.5
6015,Jardim América,180,3,3,1,12300,1580,13880,77.111115
6016,Bela Vista,105,2,2,1,3000,850,3850,36.666668
6017,Vila Guarani,59,2,1,1,1700,800,2500,42.372883
6018,Vila Carrão,36,2,1,0,1600,0,1600,44.444443
6019,Higienópolis,100,2,2,1,3500,3419,6919,69.19
6020,Cambuci,50,1,1,1,1300,526,1826,36.52
6021,Liberdade,50,1,1,0,1100,390,1490,29.8
6022,Outro,45,2,1,1,1100,500,1600,35.555557
6023,Jardim Paulista,50,1,2,1,2655,950,3605,72.1
6024,Ipiranga,30,1,1,0,1700,0,1700,56.666668
6025,Vila Olímpia,38,1,1,1,3970,800,4770,125.52631
6026,Vila Olímpia,55,2,1,1,5500,913,6413,116.6
6027,Paraíso,120,3,2,2,5900,1100,7000,58.333332
6028,Morumbi,60,2,2,1,1500,600,2100,35.0
6029,Alto Da Boa Vista,126,2,3,2,7500,920,8420,66.82539
6030,Brás,54,2,1,1,1500,450,1950,36.11111
6031,Pinheiros,67,2,2,1,2400,781,3181,47.47761
6032,Aclimação,105,2,3,2,5500,1323,6823,64.98095
6033,Outro,47,2,1,0,700,270,970,20.638298
6034,Vila Nova Conceição,50,2,1,1,2300,930,3230,64.6
6035,Moema,102,2,4,2,6200,850,7050,69.117645
6036,Vila Nova Conceição,72,2,2,2,5400,1095,6495,90.208336
6037,Outro,60,2,1,1,1500,413,1913,31.883333
6038,Centro,28,1,1,0,1500,568,2068,73.85714
6039,Móoca,54,2,1,1,1500,630,2130,39.444443
6040,Ipiranga,126,3,2,1,2100,230,2330,18.492064
6041,Perdizes,89,3,2,1,2900,800,3700,41.573032
6042,Vila Mariana,69,2,2,1,2200,1200,3400,49.275364
6043,Consolação,50,1,1,0,1800,390,2190,43.8
6044,Sumaré,111,3,2,1,3000,720,3720,33.51351
6045,Vila Santa Catarina,70,1,1,0,1900,0,1900,27.142857
6046,Outro,626,4,5,5,18000,5800,23800,38.01917
6047,Indianópolis,97,3,4,2,5000,1153,6153,63.43299
6048,Saúde,69,3,2,1,2200,481,2681,38.855072
6049,Ipiranga,213,3,5,3,9800,2000,11800,55.39906
6050,Pinheiros,70,1,2,1,4950,758,5708,81.542854
6051,Vila Sônia,106,2,2,2,3800,1018,4818,45.45283
6052,Cambuci,90,2,1,2,2900,961,3861,42.9
6053,Outro,50,2,1,1,1200,402,1602,32.04
6054,Perdizes,80,3,3,2,2900,1200,4100,51.25
6055,Jardim Prudência,59,2,2,1,2300,609,2909,49.305084
6056,Centro,39,1,1,1,1600,608,2208,56.615383
6057,Itaim Bibi,130,3,3,2,6500,2250,8750,67.30769
6058,Moema,155,4,6,3,3500,3400,6900,44.51613
6059,Moema,50,1,1,1,2200,600,2800,56.0
6060,Santana,69,3,2,1,1800,745,2545,36.884056
6061,Itaim Bibi,140,3,4,1,12000,1890,13890,99.21429
6062,Vila Romana,62,2,2,1,2900,628,3528,56.903225
6063,Vila Romana,105,2,2,1,2500,1140,3640,34.666668
6064,Outro,55,3,1,1,1000,260,1260,22.90909
6065,Higienópolis,323,4,5,4,10000,4095,14095,43.63777
6066,Brooklin,34,1,1,1,2800,400,3200,94.117645
6067,Vila Guarani,55,2,1,1,2000,510,2510,45.636364
6068,Outro,67,2,2,1,2299,730,3029,45.208954
6069,Vila Anastácio,69,2,2,2,3200,700,3900,56.52174
6070,Moema,138,3,4,2,7500,1388,8888,64.4058
6071,Jardim Paulista,230,4,5,3,10990,3681,14671,63.786957
6072,Outro,57,2,1,1,1372,570,1942,34.070175
6073,Lapa,38,1,1,0,1000,207,1207,31.763159
6074,Outro,50,2,1,1,1100,551,1651,33.02
6075,Jabaquara,90,2,1,1,1300,0,1300,14.444445
6076,Ipiranga,64,2,2,2,2800,800,3600,56.25
6077,Jardim América,90,2,2,1,3100,1198,4298,47.755554
6078,Outro,65,2,2,1,1600,845,2445,37.615383
6079,Jardim Paulista,190,5,6,3,18000,0,18000,94.73684
6080,Vila Uberabinha,80,2,2,1,4500,1168,5668,70.85
6081,Vila Clementino,80,2,3,1,2600,817,3417,42.7125
6082,Pinheiros,87,1,2,0,2200,421,2621,30.126436
6083,Santa Cecília,257,3,3,2,6500,2526,9026,35.12062
6084,Jardim Paulista,100,2,3,1,6500,1150,7650,76.5
6085,Jaguaré,50,2,1,1,1200,583,1783,35.66
6086,Vila Leopoldina,83,2,3,2,2900,1113,4013,48.349396
6087,Outro,124,3,2,0,1900,300,2200,17.741936
6088,Tatuapé,45,1,1,1,1800,680,2480,55.11111
6089,Vila Madalena,153,4,5,3,6000,2256,8256,53.960785
6090,Itaim Bibi,97,2,2,1,3900,1090,4990,51.4433
6091,Perdizes,36,1,1,1,1800,798,2598,72.166664
6092,Chácara Santo Antônio,37,1,1,1,1850,577,2427,65.5946
6093,Cambuci,26,1,1,0,1600,150,1750,67.30769
6094,Pompeia,90,3,3,2,4000,772,4772,53.02222
6095,Vila Olímpia,70,2,2,1,2300,895,3195,45.642857
6096,Vila Nova Conceição,65,2,2,1,2600,629,3229,49.67692
6097,Bela Vista,29,1,1,1,1400,725,2125,73.27586
6098,Outro,50,2,2,2,1900,574,2474,49.48
6099,Campo Belo,42,1,1,1,2150,558,2708,64.47619
6100,Jabaquara,50,2,2,1,2500,552,3052,61.04
6101,Outro,65,2,2,1,2800,691,3491,53.70769
6102,Outro,70,3,3,2,2000,1000,3000,42.857143
